harga,kota,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
1250000000.0,Bekasi,Bekasi Kota,60.0,110.0,3.0,3.0
525000000.0,Bekasi,Bekasi Kota,72.0,42.0,3.0,1.0
510000000.0,Bekasi,Bekasi Kota,70.0,38.0,2.0,1.0
895000000.0,Bekasi,Bekasi Kota,92.0,120.0,2.0,2.0
2500000000.0,Bekasi,Bekasi Kota,135.0,110.0,4.0,3.0
1650000000.0,Bekasi,Bekasi Kota,165.0,180.0,4.0,3.0
690000000.0,Bekasi,Bekasi Kota,94.0,75.0,1.0,1.0
750000000.0,Bekasi,Bekasi Kota,78.0,54.0,2.0,1.0
764000000.0,Bekasi,Bekasi Kota,78.0,83.0,3.0,3.0
764000000.0,Bekasi,Bekasi Kota,78.0,83.0,3.0,3.0
42000000.0,Bekasi,Bekasi Kota,60.0,40.0,2.0,2.0
1400000000.0,Bekasi,Bekasi Kota,77.0,150.0,3.0,3.0
500000000.0,Bekasi,Cibitung,60.0,48.0,2.0,2.0
342000000.0,Bekasi,Cibitung,66.0,63.0,2.0,1.0
764000000.0,Bekasi,Cibitung,78.0,83.0,3.0,3.0
764000000.0,Bekasi,Cibitung,78.0,83.0,3.0,3.0
500000000.0,Bekasi,Cibubur,60.0,48.0,2.0,2.0
1150000000.0,Bekasi,Cibubur,90.0,70.0,2.0,1.0
599000000.0,Bekasi,Cibubur,72.0,60.0,2.0,1.0
1680000000.0,Bekasi,Cibubur,200.0,90.0,3.0,2.0
1560000000.0,Bekasi,Cibubur,121.0,105.0,3.0,3.0
1180000000.0,Bekasi,Cibubur,84.0,77.0,3.0,3.0
1180000000.0,Bekasi,Cibubur,84.0,77.0,3.0,2.0
990000000.0,Bekasi,Cibubur,95.0,60.0,3.0,2.0
800000000.0,Bekasi,Cibubur,84.0,91.0,3.0,2.0
718000000.0,Bekasi,Cibubur,72.0,40.0,2.0,1.0
1390000000.0,Bekasi,Cibubur,60.0,64.0,3.0,2.0
764000000.0,Bekasi,Cibubur,78.0,83.0,3.0,3.0
1200000000.0,Bekasi,Cibubur,86.0,115.0,4.0,3.0
1310000000.0,Bekasi,Cibubur,86.0,115.0,3.0,3.0
680000000.0,Bekasi,Mustikajaya,72.0,36.0,2.0,1.0
680000000.0,Bekasi,Mustikajaya,72.0,36.0,2.0,1.0
1200000000.0,Bekasi,Mustikajaya,165.0,90.0,3.0,2.0
680000000.0,Bekasi,Mustikajaya,72.0,36.0,2.0,1.0
680000000.0,Bekasi,Mustikajaya,72.0,36.0,2.0,1.0
1200000000.0,Bekasi,Mustikajaya,165.0,90.0,3.0,2.0
680000000.0,Bekasi,Mustikajaya,72.0,36.0,2.0,1.0
1200000000.0,Bekasi,Mustikajaya,165.0,90.0,3.0,2.0
390000000.0,Bekasi,Mustikajaya,60.0,36.0,2.0,1.0
455000000.0,Bekasi,Mustikajaya,70.0,41.0,2.0,1.0
1010000000.0,Bekasi,Mustikajaya,125.0,65.0,3.0,2.0
690000000.0,Bekasi,Mustikajaya,96.0,48.0,2.0,1.0
988000000.0,Bekasi,Mustikajaya,72.0,60.0,3.0,2.0
465000000.0,Bekasi,Mustikajaya,60.0,55.0,2.0,1.0
480000000.0,Bekasi,Mustikajaya,60.0,55.0,2.0,2.0
625000000.0,Bekasi,Mustikajaya,72.0,48.0,2.0,1.0
3000000000.0,Bekasi,Mustikajaya,210.0,310.0,4.0,4.0
1180000000.0,Bekasi,Jatisampurna,84.0,77.0,3.0,2.0
1080000000.0,Bekasi,Jatisampurna,105.0,90.0,2.0,2.0
1050000000.0,Bekasi,Jatisampurna,90.0,70.0,2.0,1.0
1080000000.0,Bekasi,Jatisampurna,105.0,90.0,2.0,2.0
1150000000.0,Bekasi,Jatisampurna,90.0,70.0,2.0,1.0
1080000000.0,Bekasi,Jatisampurna,105.0,90.0,2.0,2.0
1080000000.0,Bekasi,Jatisampurna,105.0,90.0,2.0,2.0
1150000000.0,Bekasi,Jatisampurna,90.0,70.0,2.0,1.0
1150000000.0,Bekasi,Jatisampurna,90.0,70.0,2.0,1.0
1150000000.0,Bekasi,Jatisampurna,90.0,70.0,2.0,1.0
1210000000.0,Bekasi,Jatisampurna,84.0,77.0,3.0,3.0
1180000000.0,Bekasi,Jatisampurna,84.0,77.0,3.0,3.0
1150000000.0,Bekasi,Jatisampurna,90.0,70.0,2.0,1.0
1180000000.0,Bekasi,Jatisampurna,84.0,77.0,3.0,3.0
968000000.0,Bekasi,Jatisampurna,89.0,52.0,2.0,1.0
1650000000.0,Bekasi,Jatisampurna,165.0,180.0,4.0,3.0
1180000000.0,Bekasi,Jatisampurna,84.0,77.0,3.0,3.0
720000000.0,Bekasi,Jatisampurna,80.0,55.0,2.0,1.0
1300000000.0,Bekasi,Jatisampurna,84.0,105.0,4.0,3.0
1190000000.0,Bekasi,Jatisampurna,101.0,84.0,3.0,2.0
1180000000.0,Bekasi,Jatisampurna,84.0,77.0,3.0,2.0
1300000000.0,Bekasi,Jatisampurna,87.0,77.0,3.0,3.0
600000000.0,Bekasi,Jatisampurna,80.0,55.0,2.0,1.0
500000000.0,Bekasi,Jatisampurna,70.0,45.0,2.0,1.0
1100000000.0,Bekasi,Jatisampurna,82.0,72.0,3.0,3.0
1280000000.0,Bekasi,Jatiwarna,92.0,130.0,3.0,3.0
3700000000.0,Bekasi,Jatiwarna,216.0,300.0,3.0,4.0
1070000000.0,Bekasi,Jatiwarna,95.0,88.0,4.0,2.0
476000000.0,Bekasi,Jatiwarna,52.0,36.0,2.0,1.0
968000000.0,Bekasi,Jatiwarna,70.0,120.0,3.0,3.0
884000000.0,Bekasi,Jatiwarna,70.0,65.0,3.0,2.0
1180000000.0,Bekasi,Jatiwarna,95.0,140.0,4.0,3.0
4040000000.0,Bekasi,Jatiwarna,183.0,136.0,5.0,4.0
1100000000.0,Bekasi,Jatiwarna,180.0,172.0,3.0,3.0
2250000000.0,Bekasi,Jatiwarna,175.0,250.0,3.0,2.0
1800000000.0,Bekasi,Jatiwarna,115.0,113.0,3.0,2.0
800000000.0,Bekasi,Jatiwarna,97.0,76.0,2.0,1.0
920000000.0,Bekasi,Pondok Gede,70.0,85.0,3.0,2.0
1970000000.0,Bekasi,Pondok Gede,91.0,165.0,4.0,4.0
1990000000.0,Bekasi,Pondok Gede,178.0,110.0,3.0,3.0
3950000000.0,Bekasi,Pondok Gede,760.0,350.0,4.0,2.0
1250000000.0,Bekasi,Pondok Gede,154.0,150.0,4.0,3.0
5300000000.0,Bekasi,Pondok Gede,707.0,338.0,6.0,4.0
1110000000.0,Bekasi,Pondok Gede,75.0,80.0,3.0,3.0
1870000000.0,Bekasi,Pondok Gede,91.0,165.0,3.0,4.0
1590000000.0,Bekasi,Jaka Setia,118.0,156.0,3.0,3.0
1620000000.0,Bekasi,Jaka Setia,118.0,156.0,3.0,3.0
500000000.0,Bekasi,Jati Asih,64.0,47.0,2.0,1.0
750000000.0,Bekasi,Jati Asih,78.0,54.0,2.0,1.0
600000000.0,Bekasi,Jati Asih,65.0,53.0,2.0,2.0
799000000.0,Bekasi,Jati Asih,97.0,70.0,2.0,1.0
799000000.0,Bekasi,Jati Asih,97.0,70.0,2.0,1.0
799000000.0,Bekasi,Jati Asih,97.0,70.0,2.0,1.0
959000000.0,Bekasi,Jati Asih,96.0,80.0,3.0,2.0
774000000.0,Bekasi,Jati Asih,70.0,70.0,3.0,2.0
995000000.0,Bekasi,Jati Asih,80.0,90.0,3.0,2.0
1400000000.0,Bekasi,Jati Asih,112.0,71.0,2.0,2.0
1050000000.0,Bekasi,Jati Asih,72.0,90.0,3.0,2.0
975000000.0,Bekasi,Jati Asih,100.0,70.0,3.0,2.0
620000000.0,Bekasi,Jati Asih,72.0,50.0,2.0,1.0
959000000.0,Bekasi,Jati Asih,72.0,80.0,3.0,2.0
875000000.0,Bekasi,Jati Asih,100.0,66.0,3.0,2.0
600000000.0,Bekasi,Jati Asih,72.0,50.0,2.0,1.0
807000000.0,Bekasi,Jati Asih,42.0,63.0,3.0,2.0
580000000.0,Bekasi,Jati Asih,60.0,50.0,3.0,1.0
679000000.0,Bekasi,Jati Asih,63.0,45.0,2.0,1.0
900000000.0,Bekasi,Jati Asih,72.0,80.0,3.0,2.0
849000000.0,Bekasi,Jati Asih,70.0,90.0,3.0,2.0
880000000.0,Bekasi,Jati Asih,75.0,66.0,3.0,2.0
695000000.0,Bekasi,Jati Asih,65.0,58.0,2.0,2.0
465000000.0,Bekasi,Jati Asih,60.0,36.0,2.0,1.0
857000000.0,Bekasi,Jati Asih,42.0,62.0,2.0,2.0
650000000.0,Bekasi,Jati Asih,72.0,45.0,2.0,1.0
145000000.0,Bekasi,Jati Asih,175.0,140.0,4.0,3.0
1990000000.0,Bekasi,Jati Asih,300.0,250.0,4.0,4.0
675000000.0,Bekasi,Jati Asih,99.0,71.0,3.0,3.0
350000000.0,Bekasi,Jati Asih,66.0,57.0,2.0,1.0
350000000.0,Bekasi,Jati Asih,66.0,57.0,2.0,1.0
2790000000.0,Bekasi,Jati Asih,250.0,252.0,5.0,4.0
2790000000.0,Bekasi,Jati Asih,250.0,252.0,5.0,4.0
2790000000.0,Bekasi,Jati Asih,250.0,252.0,5.0,4.0
750000000.0,Bekasi,Jati Asih,78.0,54.0,2.0,1.0
400000000.0,Bekasi,Jati Asih,70.0,42.0,2.0,1.0
1350000000.0,Bekasi,Jati Asih,175.0,133.0,4.0,3.0
1350000000.0,Bekasi,Jati Asih,175.0,133.0,4.0,3.0
750000000.0,Bekasi,Jati Asih,78.0,54.0,2.0,1.0
550000000.0,Bekasi,Jati Asih,60.0,40.0,2.0,1.0
700000000.0,Bekasi,Jati Asih,78.0,54.0,3.0,2.0
682000000.0,Bekasi,Jati Asih,63.0,45.0,2.0,1.0
2300000000.0,Bekasi,Grand Wisata,200.0,300.0,3.0,3.0
1200000000.0,Bekasi,Grand Wisata,165.0,90.0,3.0,2.0
4300000000.0,Bekasi,Grand Wisata,382.0,350.0,4.0,3.0
4500000000.0,Bekasi,Grand Wisata,612.0,376.0,4.0,4.0
1250000000.0,Bekasi,Grand Wisata,112.0,65.0,3.0,2.0
2300000000.0,Bekasi,Grand Wisata,160.0,127.0,3.0,2.0
2200000000.0,Bekasi,Grand Wisata,160.0,127.0,3.0,2.0
410000000.0,Bekasi,Grand Wisata,60.0,36.0,2.0,1.0
1960000000.0,Bekasi,Grand Wisata,105.0,101.0,4.0,3.0
875000000.0,Bekasi,Grand Wisata,66.0,42.0,2.0,2.0
695000000.0,Bekasi,Grand Wisata,60.0,58.0,2.0,2.0
1800000000.0,Bekasi,Jatibening,140.0,170.0,4.0,3.0
1050000000.0,Bekasi,Jatibening,72.0,90.0,3.0,2.0
1050000000.0,Bekasi,Jatibening,72.0,90.0,3.0,2.0
1050000000.0,Bekasi,Jatibening,72.0,90.0,3.0,2.0
1050000000.0,Bekasi,Jatibening,72.0,90.0,3.0,2.0
1050000000.0,Bekasi,Jatibening,72.0,90.0,3.0,2.0
1250000000.0,Bekasi,Jatibening,105.0,100.0,3.0,2.0
1690000000.0,Bekasi,Jatibening,182.0,300.0,5.0,5.0
1620000000.0,Bekasi,Jatibening,92.0,170.0,3.0,3.0
735000000.0,Bekasi,Jatibening,84.0,47.0,2.0,1.0
1620000000.0,Bekasi,Jatibening,92.0,160.0,3.0,3.0
2100000000.0,Bekasi,Jatibening,120.0,200.0,4.0,2.0
799000000.0,Bekasi,Jatibening,92.0,48.0,2.0,1.0
3400000000.0,Bekasi,Jatibening,160.0,285.0,4.0,2.0
1250000000.0,Bekasi,Jatibening,123.0,165.0,3.0,3.0
1200000000.0,Bekasi,Jatibening,77.0,109.0,3.0,2.0
1050000000.0,Bekasi,Jatibening,72.0,90.0,3.0,2.0
1350000000.0,Bekasi,Jatibening,160.0,205.0,3.0,2.0
700000000.0,Bekasi,Jatibening,78.0,46.0,3.0,2.0
