harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
360000000.0,62.0,62.0,2.0,1.0
350000000.0,72.0,45.0,2.0,1.0
370000000.0,60.0,75.0,3.0,2.0
320000000.0,60.0,45.0,2.0,1.0
853000000.0,55.0,60.0,2.0,1.0
550000000.0,60.0,36.0,2.0,1.0
2200000000.0,162.0,230.0,4.0,4.0
1950000000.0,220.0,200.0,4.0,2.0
1960000000.0,90.0,85.0,3.0,2.0
1150000000.0,90.0,150.0,4.0,2.0
1800000000.0,120.0,84.0,2.0,3.0
1400000000.0,130.0,150.0,3.0,2.0
1400000000.0,130.0,150.0,3.0,2.0
1250000000.0,90.0,81.0,3.0,2.0
3250000000.0,255.0,280.0,5.0,3.0
6750000000.0,337.0,550.0,5.0,4.0
5000000000.0,343.0,400.0,5.0,5.0
850000000.0,90.0,110.0,2.0,1.0
1850000000.0,215.0,135.0,3.0,2.0
1080000000.0,105.0,90.0,2.0,2.0
1200000000.0,165.0,90.0,3.0,2.0
390000000.0,73.0,36.0,2.0,1.0
2750000000.0,225.0,211.0,6.0,4.0
2750000000.0,160.0,128.0,4.0,4.0
590000000.0,153.0,150.0,3.0,2.0
990000000.0,220.0,123.0,3.0,2.0
2000000000.0,216.0,96.0,2.0,1.0
635000000.0,55.0,86.0,2.0,1.0
475000000.0,78.0,41.0,2.0,1.0
525000000.0,60.0,80.0,3.0,2.0
525000000.0,60.0,80.0,3.0,2.0
1100000000.0,65.0,90.0,3.0,2.0
2000000000.0,216.0,100.0,2.0,1.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
920000000.0,113.0,85.0,4.0,3.0
774000000.0,70.0,70.0,3.0,2.0
1700000000.0,125.0,160.0,3.0,2.0
2800000000.0,209.0,300.0,4.0,4.0
2800000000.0,209.0,300.0,6.0,5.0
6000000000.0,500.0,450.0,6.0,4.0
1700000000.0,102.0,150.0,3.0,2.0
2800000000.0,209.0,300.0,6.0,5.0
1250000000.0,98.0,80.0,2.0,2.0
2850000000.0,181.0,180.0,3.0,3.0
4150000000.000001,487.0,650.0,11.0,4.0
1800000000.0,90.0,135.0,3.0,3.0
1000000000.0,90.0,70.0,2.0,2.0
800000000.0,90.0,54.0,2.0,1.0
895000000.0,120.0,120.0,3.0,1.0
450000000.0,60.0,60.0,1.0,1.0
1500000000.0,120.0,88.0,3.0,2.0
590000000.0,90.0,54.0,2.0,1.0
590000000.0,90.0,54.0,2.0,1.0
1500000000.0,120.0,88.0,2.0,1.0
1250000000.0,105.0,130.0,3.0,2.0
1250000000.0,105.0,130.0,3.0,2.0
970000000.0,56.0,63.0,3.0,2.0
779000000.0,53.0,63.0,3.0,2.0
550000000.0,90.0,54.0,2.0,1.0
550000000.0,90.0,54.0,2.0,1.0
375000000.0,72.0,60.0,2.0,1.0
550000000.0,75.0,35.0,2.0,1.0
455000000.0,72.0,45.0,2.0,1.0
900000000.0,120.0,90.0,2.0,1.0
967000000.0,82.0,68.0,3.0,3.0
1500000000.0,240.0,150.0,5.0,2.0
2300000000.0,200.0,180.0,5.0,4.0
390000000.0,60.0,30.0,2.0,1.0
409000000.0,60.0,40.0,2.0,1.0
168000000.0,60.0,30.0,2.0,1.0
300000000.0,60.0,36.0,2.0,1.0
1650000000.0,123.0,100.0,4.0,1.0
450000000.0,120.0,100.0,3.0,2.0
900000000.0,150.0,100.0,3.0,2.0
750000000.0,50.0,100.0,3.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
2500000000.0,194.0,200.0,3.0,2.0
300000000.0,52.0,45.0,2.0,1.0
795000000.0,90.0,150.0,4.0,2.0
1000000000.0,72.0,108.0,3.0,2.0
1900000000.0,136.0,66.0,3.0,2.0
1180000000.0,84.0,77.0,3.0,3.0
1430000000.0,105.0,95.0,4.0,3.0
1180000000.0,84.0,77.0,3.0,2.0
400000000.0,60.0,38.0,2.0,1.0
1470000000.0,84.0,62.0,2.0,2.0
440000000.0,78.0,54.0,2.0,2.0
324000000.0,72.0,36.0,2.0,1.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
1900000000.0,150.0,195.0,3.0,3.0
650000000.0,50.0,68.0,2.0,2.0
1450000000.0,158.0,272.0,4.0,3.0
650000000.0,50.0,68.0,2.0,2.0
925000000.0,108.0,80.0,3.0,2.0
950000000.0,66.0,87.0,3.0,2.0
1300000000.0,95.0,150.0,4.0,2.0
1350000000.0,95.0,150.0,4.0,2.0
490000000.0,66.0,30.0,2.0,1.0
650000000.0,120.0,100.0,3.0,2.0
770000000.0,91.0,60.0,2.0,1.0
720000000.0,100.0,85.0,2.0,1.0
875000000.0,66.0,100.0,3.0,2.0
875000000.0,66.0,100.0,3.0,2.0
875000000.0,66.0,100.0,3.0,2.0
1490000000.0,72.0,135.0,3.0,2.0
2750000000.0,168.0,250.0,4.0,3.0
1900000000.0,72.0,110.0,3.0,2.0
1900000000.0,72.0,110.0,3.0,2.0
2500000000.0,200.0,400.0,3.0,4.0
1590000000.0,150.0,165.0,5.0,3.0
3100000000.0,179.0,250.0,5.0,3.0
700000000.0,78.0,55.0,4.0,2.0
2000000000.0,90.0,105.0,3.0,3.0
2700000000.0,126.0,165.0,6.0,4.0
420000000.0,60.0,36.0,2.0,1.0
1200000000.0,107.0,90.0,3.0,1.0
2300000000.0,200.0,143.0,3.0,2.0
1950000000.0,164.0,156.0,7.0,2.0
2000000000.0,105.0,110.0,2.0,2.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
1400000000.0,194.0,90.0,3.0,2.0
385000000.0,72.0,45.0,2.0,2.0
950000000.0,90.0,100.0,3.0,2.0
345000000.0,60.0,38.0,3.0,1.0
250000000.0,60.0,50.0,2.0,1.0
481000000.0,72.0,36.0,2.0,1.0
555000000.0,27.0,72.0,2.0,1.0
375000000.0,70.0,40.0,2.0,1.0
723000000.0,80.0,121.0,3.0,2.0
495000000.0,120.0,80.0,2.0,1.0
850000000.0,60.0,53.0,3.0,2.0
400000000.0,77.0,42.0,2.0,1.0
777000000.0,84.0,58.0,2.0,1.0
625000000.0,72.0,48.0,2.0,1.0
6000000000.0,1070.0,720.0,5.0,4.0
1000000000.0,72.0,90.0,3.0,2.0
1400000000.0,144.0,133.0,4.0,4.0
650000000.0,84.0,70.0,2.0,2.0
4850000000.0,348.0,430.0,5.0,4.0
700000000.0,82.0,60.0,3.0,2.0
418000000.0,72.0,36.0,3.0,1.0
320000000.0,60.0,50.0,2.0,1.0
370000000.0,60.0,50.0,2.0,1.0
325000000.0,60.0,45.0,2.0,1.0
750000000.0,119.0,80.0,2.0,1.0
450000000.0,60.0,45.0,2.0,1.0
600000000.0,110.0,70.0,2.0,1.0
600000000.0,110.0,70.0,2.0,2.0
325000000.0,60.0,45.0,2.0,1.0
435000000.0,60.0,45.0,2.0,1.0
750000000.0,119.0,80.0,2.0,1.0
800000000.0,78.0,150.0,4.0,2.0
480000000.0,60.0,45.0,2.0,1.0
250000000.0,60.0,42.0,2.0,1.0
550000000.0,74.0,70.0,2.0,2.0
2900000000.0,241.0,140.0,5.0,3.0
4800000000.0,220.0,300.0,3.0,2.0
975000000.0,93.0,80.0,2.0,2.0
1400000000.0,180.0,180.0,3.0,1.0
550000000.0,72.0,50.0,2.0,1.0
1350000000.0,180.0,150.0,2.0,2.0
850000000.0,90.0,69.0,3.0,1.0
1100000000.0,135.0,117.0,4.0,2.0
950000000.0,93.0,80.0,3.0,2.0
950000000.0,65.0,80.0,3.0,2.0
2300000000.0,375.0,385.0,4.0,2.0
695000000.0,79.0,90.0,3.0,2.0
695000000.0,70.0,90.0,3.0,2.0
980000000.0,135.0,78.0,2.0,1.0
470000000.0,70.0,50.0,2.0,1.0
496000000.0,72.0,36.0,2.0,1.0
600000000.0,80.0,120.0,2.0,2.0
399000000.0,72.0,54.0,2.0,1.0
450000000.0,72.0,50.0,2.0,1.0
2300000000.0,200.0,143.0,3.0,2.0
475000000.0,112.0,112.0,3.0,2.0
1300000000.0,126.0,140.0,6.0,3.0
265000000.0,60.0,36.0,2.0,1.0
380000000.0,100.0,45.0,2.0,1.0
160000000.0,60.0,50.0,3.0,1.0
525000000.0,60.0,80.0,3.0,2.0
770000000.0,105.0,75.0,2.0,1.0
750000000.0,78.0,54.0,2.0,1.0
690000000.0,90.0,55.0,2.0,2.0
700000000.0,78.0,45.0,3.0,2.0
995000000.0,78.0,70.0,3.0,2.0
570000000.0,72.0,60.0,2.0,1.0
570000000.0,84.0,45.0,2.0,1.0
450000000.0,72.0,48.0,2.0,1.0
3500000000.0,542.0,300.0,6.0,2.0
1150000000.0,90.0,170.0,3.0,2.0
1150000000.0,90.0,170.0,3.0,2.0
1100000000.0,182.0,220.0,4.0,2.0
500000000.0,114.0,70.0,3.0,2.0
2400000000.0,225.0,300.0,3.0,2.0
2400000000.0,225.0,300.0,3.0,2.0
1290000000.0,94.0,160.0,3.0,2.0
690000000.0,140.0,100.0,4.0,3.0
995000000.0,129.0,100.0,3.0,2.0
4500000000.0,264.0,400.0,8.0,3.0
11500000000.0,923.0,401.0,4.0,5.0
22500000000.0,1064.0,800.0,5.0,4.0
945000000.0,90.0,70.0,3.0,1.0
1440000000.0,90.0,110.0,3.0,2.0
550000000.0,90.0,80.0,2.0,1.0
9500000000.0,1400.0,300.0,4.0,3.0
5500000000.0,420.0,400.0,5.0,5.0
16500000000.0,2916.0,500.0,2.0,6.0
1000000000.0,90.0,150.0,3.0,2.0
1440000000.0,90.0,110.0,3.0,2.0
3000000000.0,162.0,196.0,4.0,2.0
1380000000.0,105.0,150.0,3.0,2.0
16500000000.0,2916.0,500.0,3.0,2.0
945000000.0,70.0,90.0,3.0,1.0
1440000000.0,90.0,110.0,3.0,2.0
1380000000.0,105.0,150.0,3.0,2.0
2000000000.0,144.0,200.0,5.0,6.0
5500000000.0,300.0,520.0,4.0,4.0
5750000000.0,517.0,305.0,4.0,3.0
5900000000.0,312.0,250.0,4.0,3.0
6200000000.0,514.0,340.0,3.0,3.0
1800000000.0,224.0,90.0,2.0,1.0
650000000.0,90.0,100.0,2.0,2.0
1900000000.0,216.0,120.0,2.0,3.0
5100000000.0,481.0,242.0,4.0,3.0
900000000.0,90.0,90.0,2.0,1.0
850000000.0,139.0,130.0,3.0,2.0
650000000.0,90.0,100.0,2.0,2.0
1300000000.0,150.0,62.0,2.0,1.0
2150000000.0,216.0,110.0,2.0,4.0
3500000000.0,323.0,500.0,4.0,4.0
1300000000.0,117.0,160.0,5.0,3.0
1250000000.0,144.0,105.0,3.0,2.0
700000000.0,137.0,40.0,2.0,1.0
4500000000.0,358.0,250.0,3.0,2.0
8500000000.0,350.0,620.0,8.0,6.0
1900000000.0,126.0,102.0,3.0,2.0
3900000000.0,329.0,275.0,3.0,4.0
4500000000.0,663.0,300.0,4.0,3.0
11500000000.0,518.0,515.0,4.0,5.0
