luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
77.0,109.0,3.0,2.0
72.0,90.0,3.0,2.0
160.0,205.0,3.0,2.0
78.0,46.0,3.0,2.0
154.0,154.0,3.0,2.0
75.0,55.0,2.0,1.0
72.0,108.0,3.0,2.0
72.0,108.0,3.0,2.0
66.0,87.0,3.0,2.0
136.0,150.0,3.0,3.0
66.0,87.0,3.0,2.0
75.0,99.0,3.0,2.0
104.0,120.0,3.0,3.0
72.0,42.0,2.0,1.0
80.0,121.0,3.0,2.0
60.0,29.0,2.0,1.0
98.0,165.0,4.0,2.0
108.0,135.0,2.0,1.0
72.0,45.0,2.0,1.0
60.0,29.0,2.0,1.0
90.0,75.0,3.0,1.0
72.0,36.0,2.0,1.0
53.0,63.0,3.0,2.0
90.0,69.0,3.0,1.0
90.0,69.0,3.0,1.0
78.0,83.0,3.0,3.0
186.0,200.0,4.0,3.0
105.0,140.0,4.0,3.0
78.0,83.0,3.0,3.0
60.0,40.0,2.0,2.0
180.0,150.0,2.0,2.0
210.0,230.0,4.0,2.0
118.0,71.0,3.0,3.0
75.0,48.0,2.0,1.0
150.0,196.0,4.0,2.0
939.0,500.0,36.0,36.0
119.0,100.0,2.0,2.0
72.0,36.0,2.0,1.0
72.0,45.0,2.0,1.0
97.0,54.0,3.0,1.0
97.0,54.0,2.0,1.0
97.0,54.0,2.0,1.0
119.0,84.0,2.0,1.0
250.0,180.0,2.0,1.0
97.0,54.0,3.0,1.0
97.0,54.0,3.0,1.0
66.0,87.0,3.0,2.0
72.0,60.0,2.0,1.0
120.0,60.0,3.0,1.0
97.0,70.0,2.0,1.0
216.0,300.0,3.0,4.0
66.0,87.0,3.0,2.0
60.0,36.0,2.0,1.0
40.0,66.0,2.0,1.0
60.0,45.0,2.0,1.0
60.0,45.0,2.0,1.0
60.0,45.0,3.0,1.0
60.0,45.0,2.0,1.0
120.0,88.0,3.0,2.0
120.0,88.0,3.0,2.0
72.0,39.0,2.0,1.0
36.0,61.0,2.0,1.0
36.0,61.0,2.0,1.0
60.0,40.0,2.0,1.0
60.0,29.0,2.0,1.0
72.0,72.0,2.0,1.0
60.0,40.0,2.0,1.0
62.0,62.0,2.0,1.0
72.0,45.0,2.0,1.0
60.0,75.0,3.0,2.0
60.0,45.0,2.0,1.0
55.0,60.0,2.0,1.0
60.0,36.0,2.0,1.0
162.0,230.0,4.0,4.0
220.0,200.0,4.0,2.0
90.0,85.0,3.0,2.0
90.0,150.0,4.0,2.0
120.0,84.0,2.0,3.0
130.0,150.0,3.0,2.0
130.0,150.0,3.0,2.0
90.0,81.0,3.0,2.0
255.0,280.0,5.0,3.0
337.0,550.0,5.0,4.0
343.0,400.0,5.0,5.0
90.0,110.0,2.0,1.0
215.0,135.0,3.0,2.0
105.0,90.0,2.0,2.0
165.0,90.0,3.0,2.0
73.0,36.0,2.0,1.0
